,Archipelago1.model,Archipelago2.model,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,key,Archipelago1.var,Archipelago2.var,Distance_raw,Distance,diff_sst,diff_past_sst,Group1,Group2
1,American_Samoa,Andaman_and_Nicobar_Islands,0.011061642,0.010323817,0.000737825,824.2449146,457.9558795,91.13131903,12.9,36.57142926,143.483763,433.588305,150.6823158,20.2,12.00000191,American_Samoa/Andaman_and_Nicobar_Islands,American_Samoa,Andaman_and_Nicobar_Islands,"11.051,41",11.051,0.2,2.56425,Across_Oceans,Pacific-Indian
2,American_Samoa,Azores,0.776795065,0.565142568,0.211652498,771.6282735,120.5808635,402.8227787,22.785,15.28571415,38.2504808,241.161727,472.7006035,0.43,30.5714283,American_Samoa/Azores,American_Samoa,Azores,"15.683,39",15.683,9.58,13.05549,Across_Oceans,Pacific-Atlantic
3,American_Samoa,Bermuda,0.755350161,0.649097951,0.106252209,785.683313,389.8923635,238.2365531,35,16.99999988,66.3605597,297.461273,143.5281524,24,27.14285684,American_Samoa/Bermuda,American_Samoa,Bermuda,"12.327,12",12.327,5.04,7.96198,Across_Oceans,Pacific-Atlantic
4,American_Samoa,Canary_Islands,0.999953086,0,0.999953086,783.3411135,216.5998635,381.2799442,24,15.28571415,61.6761607,49.123727,429.6149346,2,30.5714283,American_Samoa/Canary_Islands,American_Samoa,Canary_Islands,"16.927,1",16.927,7.24,10.18588,Across_Oceans,Pacific-Atlantic
5,American_Samoa,Cape_Verde,0.785134504,0.543025726,0.242108778,771.6282735,273.0413635,402.8227787,19,15.28571415,38.2504808,63.759273,472.7006035,8,30.5714283,American_Samoa/Cape_Verde,American_Samoa,Cape_Verde,"16.521,83",16.521,4.31,6.27116,Across_Oceans,Pacific-Atlantic
6,American_Samoa,Cook_Islands,0.05506753,0.007041212,0.048026318,761.208299,146.3877445,177.8567688,20.75,16.57142842,17.4105317,189.547965,22.7685837,4.5,27.99999976,American_Samoa/Cook_Islands,American_Samoa,Cook_Islands,"1.266,52",1.266,1.62,1.49084,Within_Regions,Central_Pacific
7,American_Samoa,Fiji,0.399124499,0.004039584,0.395084915,769.4988139,1331.546824,91.40802404,25.5,31.99999905,33.9915616,2180.770193,150.1289057,5,2.85714149,American_Samoa/Fiji,American_Samoa,Fiji,"1.217,95",1.217,1.47,1.16348,Within_Regions,Central_Pacific
8,American_Samoa,French_Polynesia,0.066403915,0.005147648,0.061256267,746.0173509,127.679764,195.0326282,32.4,16.78571415,12.9713644,226.963926,57.1203026,18.8,27.5714283,American_Samoa/French_Polynesia,American_Samoa,French_Polynesia,"2.306,41",2.306,1.02,2.45504,Within_Regions,Central_Pacific
9,American_Samoa,Galapagos,0.294306156,0.083271074,0.211035083,972.8479416,182.4887105,345.9732351,13.155,15.28571415,440.6898169,117.346033,359.0015163,19.69,30.5714283,American_Samoa/Galapagos,American_Samoa,Galapagos,"8.860,36",8.86,4.97,4.18412,Within_Oceans,Pacific
10,American_Samoa,Hawaii,0.532094307,0.180255752,0.351838555,895.5577116,308.5377245,278.0477932,24,16.99999988,286.1093569,134.751995,223.1506325,2,27.14285684,American_Samoa/Hawaii,American_Samoa,Hawaii,"4.201,97",4.201,2.95,1.29558,Within_Regions,Central_Pacific
11,American_Samoa,Islas_Revillagigedo,0.432429427,1.99E-10,0.432429427,754.1357915,123.6468635,186.4898914,16.5,15.71428558,3.2655168,235.029727,40.0348289,13,29.71428543,American_Samoa/Islas_Revillagigedo,American_Samoa,Islas_Revillagigedo,"7.333,15",7.333,3.84,5.36643,Within_Oceans,Pacific
12,American_Samoa,Juan_Fernandez_Islands,0.997677944,0,0.997677944,972.8479416,182.4887105,345.9732351,12.2,15.28571415,440.6898169,117.346033,359.0015163,21.6,30.5714283,American_Samoa/Juan_Fernandez_Islands,American_Samoa,Juan_Fernandez_Islands,"9.257,37",9.257,11.27,9.55089,Within_Oceans,Pacific
13,American_Samoa,Maldives,0.313190196,0.0042183,0.308971895,877.9731941,1028.235099,94.39279936,13.5,31.85714245,250.9403219,1574.146743,144.1593551,19,2.5714283,American_Samoa/Maldives,American_Samoa,Maldives,"12.863,83",12.863,0.46,1.60126,Across_Oceans,Pacific-Indian
14,American_Samoa,Maluku_Islands,0.621500208,0,0.621500208,700.3792488,552.9987845,83.79194274,13.2,46.99999905,104.2475687,623.674115,165.3610683,19.6,32.85714149,American_Samoa/Maluku_Islands,American_Samoa,Maluku_Islands,"6.686,42",6.686,0.58,1.0763,Within_Oceans,Pacific
