,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,mean_isolation,mean_reef_area,mean_past_isolation,mean_age,mean_past_reef_area,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,Distance,Group1,Group2
1,American_Samoa,Andaman_and_Nicobar_Islands,0.063796406,0.02527879,0.038517616,824.2449146,457.9558795,91.13131903,12.9,36.57142926,143.483763,433.588305,150.6823158,20.2,12.00000191,0.2,2.56425,11.051,Across_Oceans,Pacific-Indian
2,American_Samoa,Azores,0.22482786,0.005748433,0.219079427,771.6282735,120.5808635,402.8227787,22.785,15.28571415,38.2504808,241.161727,472.7006035,0.43,30.5714283,9.58,13.05549,15.683,Across_Oceans,Pacific-Atlantic
3,American_Samoa,Bermuda,0.199182394,0.01423019,0.184952204,785.683313,389.8923635,238.2365531,35,16.99999988,66.3605597,297.461273,143.5281524,24,27.14285684,5.04,7.96198,12.327,Across_Oceans,Pacific-Atlantic
4,American_Samoa,Canary_Islands,0.160562832,0.019350902,0.14121193,783.3411135,216.5998635,381.2799442,24,15.28571415,61.6761607,49.123727,429.6149346,2,30.5714283,7.24,10.18588,16.927,Across_Oceans,Pacific-Atlantic
5,American_Samoa,Cape_Verde,0.130082306,0.010794211,0.119288095,771.6282735,273.0413635,402.8227787,19,15.28571415,38.2504808,63.759273,472.7006035,8,30.5714283,4.31,6.27116,16.521,Across_Oceans,Pacific-Atlantic
6,American_Samoa,Cook_Islands,0.037688048,0.025914626,0.011773421,761.208299,146.3877445,177.8567688,20.75,16.57142842,17.4105317,189.547965,22.7685837,4.5,27.99999976,1.62,1.49084,1.266,Within_Regions,Central_Pacific
7,American_Samoa,Fiji,0.066330174,0.000804787,0.065525387,769.4988139,1331.546824,91.40802404,25.5,31.99999905,33.9915616,2180.770193,150.1289057,5,2.85714149,1.47,1.16348,1.217,Within_Regions,Central_Pacific
8,American_Samoa,French_Polynesia,0.031476326,0.019648025,0.011828302,746.0173509,127.679764,195.0326282,32.4,16.78571415,12.9713644,226.963926,57.1203026,18.8,27.5714283,1.02,2.45504,2.306,Within_Regions,Central_Pacific
9,American_Samoa,Galapagos,0.124851536,0.022124755,0.102726781,972.8479416,182.4887105,345.9732351,13.155,15.28571415,440.6898169,117.346033,359.0015163,19.69,30.5714283,4.97,4.18412,8.86,Within_Oceans,Pacific
10,American_Samoa,Hawaii,0.030294778,0.024672356,0.005622422,895.5577116,308.5377245,278.0477932,24,16.99999988,286.1093569,134.751995,223.1506325,2,27.14285684,2.95,1.29558,4.201,Within_Regions,Central_Pacific
11,American_Samoa,Islas_Revillagigedo,0.205566798,0.008045657,0.19752114,754.1357915,123.6468635,186.4898914,16.5,15.71428558,3.2655168,235.029727,40.0348289,13,29.71428543,3.84,5.36643,7.333,Within_Oceans,Pacific
12,American_Samoa,Juan_Fernandez_Islands,0.308657194,0.005986367,0.302670827,972.8479416,182.4887105,345.9732351,12.2,15.28571415,440.6898169,117.346033,359.0015163,21.6,30.5714283,11.27,9.55089,9.257,Within_Oceans,Pacific
13,American_Samoa,Maldives,0.048808916,0.037104275,0.01170464,877.9731941,1028.235099,94.39279936,13.5,31.85714245,250.9403219,1574.146743,144.1593551,19,2.5714283,0.46,1.60126,12.863,Across_Oceans,Pacific-Indian
14,American_Samoa,Maluku_Islands,0.081274661,0.032766439,0.048508222,700.3792488,552.9987845,83.79194274,13.2,46.99999905,104.2475687,623.674115,165.3610683,19.6,32.85714149,0.58,1.0763,6.686,Within_Oceans,Pacific
15,American_Samoa,Marianas_Islands,0.050800078,0.002492693,0.048307385,830.6057452,145.5516445,107.1318885,26.5,16.21428555,156.2054242,191.220165,118.6811767,7,28.71428549,0.17,0.43293,5.786,Within_Oceans,Pacific
16,American_Samoa,Sao_Tome_Principe_and_Annobon,0.200851301,3.76E-11,0.200851301,1605.778392,120.5808635,316.4160468,27,30.71428585,1706.550718,241.161727,299.8871398,8,0.2857151,1.28,6.93961,18.429,Across_Oceans,Pacific-Atlantic
17,American_Samoa,Seychelles,0.057140608,0.038439064,0.018701544,778.5482121,451.03389,126.7069547,79,23.21428538,52.090358,419.744326,79.53104431,112,14.71428585,0.65,1.31298,14.449,Across_Oceans,Pacific-Indian
18,American_Samoa,Virgin_Islands,0.213712709,0.002984878,0.210727831,712.8402901,321.792136,201.8549973,66.5,21.85714293,79.325486,161.260818,70.7650407,87,17.42857075,0.74,3.11258,12.172,Across_Oceans,Pacific-Atlantic
19,Andaman_and_Nicobar_Islands,Azores,0.187257713,0.005919673,0.181338041,843.370155,337.375016,327.4816208,12.685,21.28571511,105.2332822,674.750032,623.3829193,19.77,42.57143021,9.78,10.49124,11.684,Across_Oceans,Atlantic-Indian
20,Andaman_and_Nicobar_Islands,Bermuda,0.175664326,0.031091744,0.144572583,857.4251945,606.686516,162.8953952,24.9,23.00000084,77.1232033,136.127032,294.2104682,44.2,39.14285875,5.24,5.39773,14.527,Across_Oceans,Atlantic-Indian
21,Andaman_and_Nicobar_Islands,Canary_Islands,0.137886688,0.036658987,0.101227701,855.082995,433.394016,305.9387863,13.9,21.28571511,81.8076023,482.712032,580.2972504,22.2,42.57143021,7.44,7.62163,11.252,Across_Oceans,Atlantic-Indian
22,Andaman_and_Nicobar_Islands,Cape_Verde,0.107498287,0.028345984,0.079152303,843.370155,489.835516,327.4816208,8.9,21.28571511,105.2332822,369.829032,623.3829193,12.2,42.57143021,4.51,3.70691,12.482,Across_Oceans,Atlantic-Indian
23,Andaman_and_Nicobar_Islands,Cook_Islands,0.063758913,0.03734064,0.026418272,832.9501805,363.181897,102.5156109,10.65,22.57142937,126.0732313,623.13627,173.4508995,15.7,40.00000167,1.82,1.07341,12.275,Across_Oceans,Pacific-Indian
24,Andaman_and_Nicobar_Islands,Fiji,0.107573104,0.003072057,0.104501047,841.2406954,1548.340976,16.06686616,15.4,38,109.4922014,1747.181888,0.55341002,25.2,9.14286042,1.67,1.40077,9.979,Across_Oceans,Pacific-Indian
25,Andaman_and_Nicobar_Islands,French_Polynesia,0.069850753,0.019287856,0.050562897,817.7592324,344.4739165,119.6914703,22.3,22.78571511,156.4551274,660.552231,207.8026184,39,39.57143021,1.22,0.10921,13.339,Across_Oceans,Pacific-Indian
26,Andaman_and_Nicobar_Islands,Galapagos,0.111639721,0.049060639,0.062579082,1044.589823,399.282863,270.6320772,3.055,21.28571511,297.2060539,550.934338,509.6838321,0.51,42.57143021,5.17,1.61987,18.662,Across_Oceans,Pacific-Indian
27,Andaman_and_Nicobar_Islands,Hawaii,0.058775924,0.014145416,0.044630508,967.2995931,525.331877,202.7066353,13.9,23.00000084,142.6255939,298.83631,373.8329483,22.2,39.14285875,3.15,1.26867,11.468,Across_Oceans,Pacific-Indian
28,Andaman_and_Nicobar_Islands,Islas_Revillagigedo,0.170028693,0.010911537,0.159117156,825.877673,340.441016,111.1487335,6.4,21.71428654,140.2182462,668.618032,190.7171447,7.2,41.71428734,4.04,2.80218,15.556,Across_Oceans,Pacific-Indian
29,Andaman_and_Nicobar_Islands,Juan_Fernandez_Islands,0.277299092,0.01242809,0.264871002,1044.589823,399.282863,270.6320772,2.1,21.28571511,297.2060539,550.934338,509.6838321,1.4,42.57143021,11.47,6.98664,17.484,Across_Oceans,Pacific-Indian
30,Andaman_and_Nicobar_Islands,Maldives,0.086008833,0.036232755,0.049776077,949.7150756,1245.029251,19.05164148,3.4,37.85714341,107.4565589,1140.558438,6.52296066,1.2,9.42857361,0.26,0.96299,2.334,Within_Oceans,Indian
31,Andaman_and_Nicobar_Islands,Maluku_Islands,0.10157355,0.013270429,0.08830312,772.1211303,769.792937,8.450784861,3.1,53,247.7313317,190.08581,14.67875258,0.6,20.85713958,0.38,1.48795,4.436,Within_Regions,Western_Indo_Pacific
32,Andaman_and_Nicobar_Islands,Marianas_Islands,0.092360186,0.005024556,0.087335629,902.3476267,362.345797,31.79073066,16.4,22.21428651,12.7216612,624.80847,32.00113901,27.2,40.7142874,0.03,2.13132,5.7,Within_Regions,Western_Indo_Pacific
33,Andaman_and_Nicobar_Islands,Sao_Tome_Principe_and_Annobon,0.167085647,0.00532634,0.161759307,1677.520274,337.375016,241.0748889,16.9,36.71428681,1563.066955,674.750032,450.5694556,28.2,11.71428681,1.48,4.37536,9.602,Across_Oceans,Atlantic-Indian
34,Andaman_and_Nicobar_Islands,Seychelles,0.073437698,0.015426202,0.058011495,850.2900936,667.8280425,51.36579687,68.9,29.21428633,91.393405,13.843979,71.15127144,132.2,26.71428776,0.85,1.25127,4.542,Within_Oceans,Indian
35,Andaman_and_Nicobar_Islands,Virgin_Islands,0.177994698,0.005691461,0.172303237,784.5821716,538.5862885,126.5138394,56.4,27.85714388,222.809249,272.327487,221.4473565,107.2,29.42857266,0.94,0.54833,15.861,Across_Oceans,Atlantic-Indian
36,Azores,Bermuda,0.141031396,0.110674097,0.030357298,804.8085534,269.3115,474.5868549,34.785,1.714285732,28.1100789,538.623,329.1724511,24.43,3.428571463,4.54,5.09351,3.398,Within_Oceans,Atlantic
37,Azores,Canary_Islands,0.085160469,0.006851186,0.078309284,802.4663539,96.019,617.630246,23.785,0,23.4256799,192.038,43.0856689,2.43,0,2.34,2.86961,1.501,Within_Regions,Eastern_Atlantic
38,Azores,Cape_Verde,0.109146038,0.007427914,0.101718125,790.7535139,152.4605,639.1730804,18.785,0,0,304.921,0,7.57,0,5.27,6.78433,2.655,Within_Regions,Eastern_Atlantic
39,Azores,Cook_Islands,0.232497344,0.02993207,0.202565274,780.3335394,25.806881,414.2070705,20.535,1.285714269,20.8399491,51.613762,449.9320198,4.07,2.571428537,7.96,11.56465,15.14,Across_Oceans,Pacific-Atlantic
40,Azores,Fiji,0.282710667,0.001196349,0.281514319,788.6240543,1210.96596,327.7583258,25.285,16.7142849,4.2589192,2421.93192,622.8295092,5.43,33.42856979,8.11,11.89201,16.46,Across_Oceans,Pacific-Atlantic
41,Azores,French_Polynesia,0.235854376,0.005283985,0.230570391,765.1425913,7.0989005,431.38293,32.185,1.5,51.2218452,14.197801,415.5803009,19.23,3,8.56,10.60045,14.004,Across_Oceans,Pacific-Atlantic
42,Azores,Galapagos,0.155692732,0.042706107,0.112986625,991.973182,61.907847,582.3235368,12.94,0,402.4393361,123.815694,113.6990872,19.26,0,4.61,8.87137,7.746,Across_Oceans,Pacific-Atlantic
43,Azores,Hawaii,0.229477274,0.004719079,0.224758195,914.682952,187.956861,514.3980949,23.785,1.714285732,247.8588761,375.913722,249.549971,2.43,3.428571463,6.63,11.75991,11.636,Across_Oceans,Pacific-Atlantic
