,Archipelago1,Archipelago2,beta_sor,beta_sim,beta_sne,diff_isolation,diff_reef_area,diff_past_isolation,diff_age,diff_past_reef_area,diff_sst,diff_past_sst,mean_sst,mean_past_sst,Group1,Group2,Archipelago1.var,Archipelago2.var,Distance_raw,Distance
1,American_Samoa,Andaman_and_Nicobar_Islands,0.69704918,0.483221477,0.213827704,143.483763,433.588305,150.6823158,20.2,12.00000191,0.2,2.56425,29.04,27.060055,Across_Oceans,Pacific-Indian,American_Samoa,Andaman_and_Nicobar_Islands,"11.051,41",11.051
2,American_Samoa,Azores,0.981196581,0.880434783,0.100761799,38.2504808,241.161727,472.7006035,0.43,30.5714283,9.58,13.05549,24.15,21.814435,Across_Oceans,Pacific-Atlantic,American_Samoa,Azores,"15.683,39",15.683
3,American_Samoa,Bermuda,0.979366249,0.949820789,0.029545461,66.3605597,297.461273,143.5281524,24,27.14285684,5.04,7.96198,26.42,24.36119,Across_Oceans,Pacific-Atlantic,American_Samoa,Bermuda,"12.327,12",12.327
4,American_Samoa,Canary_Islands,0.97752809,0.916666667,0.060861423,61.6761607,49.123727,429.6149346,2,30.5714283,7.24,10.18588,25.32,23.24924,Across_Oceans,Pacific-Atlantic,American_Samoa,Canary_Islands,"16.927,1",16.927
5,American_Samoa,Cape_Verde,0.96735905,0.918518519,0.048840532,38.2504808,63.759273,472.7006035,8,30.5714283,4.31,6.27116,26.785,25.2066,Across_Oceans,Pacific-Atlantic,American_Samoa,Cape_Verde,"16.521,83",16.521
6,American_Samoa,Cook_Islands,0.397129187,0.151515152,0.245614035,17.4105317,189.547965,22.7685837,4.5,27.99999976,1.62,1.49084,28.13,27.59676,Within_Regions,Central_Pacific,American_Samoa,Cook_Islands,"1.266,52",1.266
7,American_Samoa,Fiji,0.243873979,0.098330241,0.145543738,33.9915616,2180.770193,150.1289057,5,2.85714149,1.47,1.16348,28.205,27.76044,Within_Regions,Central_Pacific,American_Samoa,Fiji,"1.217,95",1.217
8,American_Samoa,French_Polynesia,0.340617577,0.324245375,0.016372202,12.9713644,226.963926,57.1203026,18.8,27.5714283,1.02,2.45504,28.43,27.11466,Within_Regions,Central_Pacific,American_Samoa,French_Polynesia,"2.306,41",2.306
9,American_Samoa,Galapagos,0.896727273,0.760942761,0.135784512,440.6898169,117.346033,359.0015163,19.69,30.5714283,4.97,4.18412,26.455,26.25012,Within_Oceans,Pacific,American_Samoa,Galapagos,"8.860,36",8.86
10,American_Samoa,Hawaii,0.61922366,0.433027523,0.186196137,286.1093569,134.751995,223.1506325,2,27.14285684,2.95,1.29558,27.465,27.69439,Within_Regions,Central_Pacific,American_Samoa,Hawaii,"4.201,97",4.201
